,Prompt,News Type,Year,Topic,ChatGPT Response,processed,tokens,predictions,label,international,contentious
0,What was Hurricane Dorian?,Event,2019,Hurricane Dorian,"
Hurricane Dorian was a powerful and devastating tropical cyclone that formed in the Atlantic Ocean in August 2019. It became one of the strongest hurricanes on record in the Atlantic basin, reaching Category 5 status on the Saffir-Simpson Hurricane Wind Scale. The hurricane primarily affected the northwestern Bahamas, causing catastrophic damage to the islands of Abaco and Grand Bahama.

Dorian's slow movement exacerbated its impact on the Bahamas, as the storm lingered over the region for an extended period. The hurricane brought extremely high winds, heavy rainfall, and storm surge, resulting in widespread destruction of infrastructure, homes, and vegetation. Many areas were inundated with floodwaters, and the humanitarian crisis prompted international relief efforts.

After devastating the Bahamas, Hurricane Dorian eventually moved along the southeastern coast of the United States, causing evacuations, flooding, and power outages in parts of Florida, Georgia, and the Carolinas. The storm's impacts were felt even farther north along the Atlantic coast.

Hurricane Dorian serves as a reminder of the destructive potential of powerful tropical cyclones and the importance of preparedness and response measures in vulnerable regions.",Hurricane Dorian was a powerful and devastating tropical cyclone that formed in the Atlantic Ocean in August It became one of the strongest hurricanes on record in the Atlantic basin reaching Category status on the Saffir Simpson Hurricane Wind Scale The hurricane primarily affected the northwestern Bahamas causing catastrophic damage to the islands of Abaco and Grand Bahama Dorian's slow movement exacerbated its impact on the Bahamas as the storm lingered over the region for an extended period The hurricane brought extremely high winds heavy rainfall and storm surge resulting in widespread destruction of infrastructure homes and vegetation Many areas were inundated with floodwaters and the humanitarian crisis prompted international relief efforts After devastating the Bahamas Hurricane Dorian eventually moved along the southeastern coast of the United States causing evacuations flooding and power outages in parts of Florida Georgia and the Carolinas The storm's impacts were felt even farther north along the Atlantic coast Hurricane Dorian serves as a reminder of the destructive potential of powerful tropical cyclones and the importance of preparedness and response measures in vulnerable regions,"['hurricane', 'dorian', 'powerful', 'devastating', 'tropical', 'cyclone', 'formed', 'atlantic', 'ocean', 'august', 'became', 'one', 'strongest', 'hurricane', 'record', 'atlantic', 'basin', 'reaching', 'category', 'status', 'saffir', 'simpson', 'hurricane', 'wind', 'scale', 'hurricane', 'primarily', 'affected', 'northwestern', 'bahamas', 'causing', 'catastrophic', 'damage', 'island', 'abaco', 'grand', 'bahama', 'dorian', ""'s"", 'slow', 'movement', 'exacerbated', 'impact', 'bahamas', 'storm', 'lingered', 'region', 'extended', 'period', 'hurricane', 'brought', 'extremely', 'high', 'wind', 'heavy', 'rainfall', 'storm', 'surge', 'resulting', 'widespread', 'destruction', 'infrastructure', 'home', 'vegetation', 'many', 'area', 'inundated', 'floodwaters', 'humanitarian', 'crisis', 'prompted', 'international', 'relief', 'effort', 'devastating', 'bahamas', 'hurricane', 'dorian', 'eventually', 'moved', 'along', 'southeastern', 'coast', 'united', 'state', 'causing', 'evacuation', 'flooding', 'power', 'outage', 'part', 'florida', 'georgia', 'carolina', 'storm', ""'s"", 'impact', 'felt', 'even', 'farther', 'north', 'along', 'atlantic', 'coast', 'hurricane', 'dorian', 'serf', 'reminder', 'destructive', 'potential', 'powerful', 'tropical', 'cyclone', 'importance', 'preparedness', 'response', 'measure', 'vulnerable', 'region']",2,liberal,0,0
1,What happened to the Notre Dame Cathedral in 2019?,Event,2019,Notre Dame Cathedral,"The Notre-Dame Cathedral in Paris, France, suffered a devastating fire on April 15, 2019. The fire broke out in the evening, causing significant damage to the historic cathedral. The fire spread quickly and engulfed the roof and spire of the cathedral, ultimately causing the spire to collapse.

The Notre-Dame Cathedral is a UNESCO World Heritage site and a symbol of French Gothic architecture, with construction dating back to the 12th century. The fire drew global attention, and efforts to extinguish it and save valuable artifacts inside were challenging. Fortunately, the main structure of the cathedral, including its iconic facade and two towers, was largely preserved. The firefighters were able to prevent the flames from spreading to the northern belfry, which helped save many precious artifacts and religious relics.

In the aftermath of the fire, there were widespread efforts to raise funds for the restoration of Notre-Dame. Numerous pledges and donations were made by individuals, companies, and governments to support the reconstruction. The restoration work is expected to take several years, with a focus on preserving the historical and architectural integrity of the cathedral.",The Notre Dame Cathedral in Paris France suffered a devastating fire on April The fire broke out in the evening causing significant damage to the historic cathedral The fire spread quickly and engulfed the roof and spire of the cathedral ultimately causing the spire to collapse The Notre Dame Cathedral is a UNESCO World Heritage site and a symbol of French Gothic architecture with construction dating back to the th century The fire drew global attention and efforts to extinguish it and save valuable artifacts inside were challenging Fortunately the main structure of the cathedral including its iconic facade and two towers was largely preserved The firefighters were able to prevent the flames from spreading to the northern belfry which helped save many precious artifacts and religious relics In the aftermath of the fire there were widespread efforts to raise funds for the restoration of Notre Dame Numerous pledges and donations were made by individuals companies and governments to support the reconstruction The restoration work is expected to take several years with a focus on preserving the historical and architectural integrity of the cathedral,"['notre', 'dame', 'cathedral', 'paris', 'france', 'suffered', 'devastating', 'fire', 'april', 'fire', 'broke', 'evening', 'causing', 'significant', 'damage', 'historic', 'cathedral', 'fire', 'spread', 'quickly', 'engulfed', 'roof', 'spire', 'cathedral', 'ultimately', 'causing', 'spire', 'collapse', 'notre', 'dame', 'cathedral', 'unesco', 'world', 'heritage', 'site', 'symbol', 'french', 'gothic', 'architecture', 'construction', 'dating', 'back', 'th', 'century', 'fire', 'drew', 'global', 'attention', 'effort', 'extinguish', 'save', 'valuable', 'artifact', 'inside', 'challenging', 'fortunately', 'main', 'structure', 'cathedral', 'including', 'iconic', 'facade', 'two', 'tower', 'largely', 'preserved', 'firefighter', 'able', 'prevent', 'flame', 'spreading', 'northern', 'belfry', 'helped', 'save', 'many', 'precious', 'artifact', 'religious', 'relic', 'aftermath', 'fire', 'widespread', 'effort', 'raise', 'fund', 'restoration', 'notre', 'dame', 'numerous', 'pledge', 'donation', 'made', 'individual', 'company', 'government', 'support', 'reconstruction', 'restoration', 'work', 'expected', 'take', 'several', 'year', 'focus', 'preserving', 'historical', 'architectural', 'integrity', 'cathedral']",2,liberal,0,0
2,What happened at the Women's World Cup in 2019?,Event,2019,Women's World Cup,"
The 2019 FIFA Women's World Cup took place in France from June 7 to July 7, 2019. The tournament featured 24 teams from around the world competing for the championship. The United States emerged as the winners, claiming their fourth title in the history of the Women's World Cup.

Here are some key highlights and information from the 2019 Women's World Cup:

Champion: The United States won the tournament by defeating the Netherlands 2-0 in the final, held at Parc Olympique Lyonnais in Lyon. Megan Rapinoe and Rose Lavelle scored the goals for the United States.

Golden Boot and Golden Ball: Megan Rapinoe, the co-captain of the U.S. team, won the Golden Boot as the tournament's top scorer with six goals and three assists. She also received the Golden Ball, awarded to the best player of the tournament.

Silver Boot and Silver Ball: England's Ellen White finished as the second-highest scorer, earning her the Silver Boot. Lucy Bronze of England received the Silver Ball for being the second-best player of the tournament.

Bronze Boot and Bronze Ball: Alex Morgan of the United States won the Bronze Boot as the third-highest scorer. Sweden's Kosovare Asllani was awarded the Bronze Ball as the third-best player of the tournament.

Attendance Records: The 2019 Women's World Cup set new records for attendance, with a total of over 1.1 million spectators attending the matches. The final alone had a crowd of 57,900.

VAR (Video Assistant Referee): The tournament marked the first time that VAR was used in a Women's World Cup. The introduction of VAR aimed to enhance the accuracy of refereeing decisions.

The 2019 Women's World Cup received widespread attention for its high level of competition and the continued growth of women's football on the global stage.",The FIFA Women's World Cup took place in France from June to July The tournament featured teams from around the world competing for the championship The United States emerged as the winners claiming their fourth title in the history of the Women's World Cup Here are some key highlights and information from the Women's World Cup Champion The United States won the tournament by defeating the Netherlands in the final held at Parc Olympique Lyonnais in Lyon Megan Rapinoe and Rose Lavelle scored the goals for the United States Golden Boot and Golden Ball Megan Rapinoe the co captain of the U S team won the Golden Boot as the tournament's top scorer with six goals and three assists She also received the Golden Ball awarded to the best player of the tournament Silver Boot and Silver Ball England's Ellen White finished as the second highest scorer earning her the Silver Boot Lucy Bronze of England received the Silver Ball for being the second best player of the tournament Bronze Boot and Bronze Ball Alex Morgan of the United States won the Bronze Boot as the third highest scorer Sweden's Kosovare Asllani was awarded the Bronze Ball as the third best player of the tournament Attendance Records The Women's World Cup set new records for attendance with a total of over million spectators attending the matches The final alone had a crowd of VAR Video Assistant Referee The tournament marked the first time that VAR was used in a Women's World Cup The introduction of VAR aimed to enhance the accuracy of refereeing decisions The Women's World Cup received widespread attention for its high level of competition and the continued growth of women's football on the global stage,"['fifa', 'woman', ""'s"", 'world', 'cup', 'took', 'place', 'france', 'june', 'july', 'tournament', 'featured', 'team', 'around', 'world', 'competing', 'championship', 'united', 'state', 'emerged', 'winner', 'claiming', 'fourth', 'title', 'history', 'woman', ""'s"", 'world', 'cup', 'key', 'highlight', 'information', 'woman', ""'s"", 'world', 'cup', 'champion', 'united', 'state', 'tournament', 'defeating', 'netherlands', 'final', 'held', 'parc', 'olympique', 'lyonnais', 'lyon', 'megan', 'rapinoe', 'rose', 'lavelle', 'scored', 'goal', 'united', 'state', 'golden', 'boot', 'golden', 'ball', 'megan', 'rapinoe', 'co', 'captain', 'u', 'team', 'golden', 'boot', 'tournament', ""'s"", 'top', 'scorer', 'six', 'goal', 'three', 'assist', 'also', 'received', 'golden', 'ball', 'awarded', 'best', 'player', 'tournament', 'silver', 'boot', 'silver', 'ball', 'england', ""'s"", 'ellen', 'white', 'finished', 'second', 'highest', 'scorer', 'earning', 'silver', 'boot', 'lucy', 'bronze', 'england', 'received', 'silver', 'ball', 'second', 'best', 'player', 'tournament', 'bronze', 'boot', 'bronze', 'ball', 'alex', 'morgan', 'united', 'state', 'bronze', 'boot', 'third', 'highest', 'scorer', 'sweden', ""'s"", 'kosovare', 'asllani', 'awarded', 'bronze', 'ball', 'third', 'best', 'player', 'tournament', 'attendance', 'record', 'woman', ""'s"", 'world', 'cup', 'set', 'new', 'record', 'attendance', 'total', 'million', 'spectator', 'attending', 'match', 'final', 'alone', 'crowd', 'var', 'video', 'assistant', 'referee', 'tournament', 'marked', 'first', 'time', 'var', 'used', 'woman', ""'s"", 'world', 'cup', 'introduction', 'var', 'aimed', 'enhance', 'accuracy', 'refereeing', 'decision', 'woman', ""'s"", 'world', 'cup', 'received', 'widespread', 'attention', 'high', 'level', 'competition', 'continued', 'growth', 'woman', ""'s"", 'football', 'global', 'stage']",0,moderate,0,0
4,What happened during the 2019 Area 51 raid?,Event,2019,Area 51 raid,"
The ""Storm Area 51"" event that gained attention in 2019 was initially created as a joke on Facebook, and it was never intended to be a serious raid on the highly classified U.S. Air Force facility known as Area 51. The event, titled ""Storm Area 51, They Can't Stop All of Us,"" suggested that people should gather near the base and run into it to uncover potential extraterrestrial secrets.

Despite its humorous origin, the event garnered significant attention on social media, and many people expressed interest in attending. The U.S. Air Force and local authorities, however, took the situation seriously and strongly discouraged any attempts to trespass on the base, emphasizing that Area 51 is a restricted military installation.

In reality, only a small number of people showed up in the vicinity of Area 51, and the situation remained mostly peaceful. Some attendees gathered at a nearby festival called ""Alienstock,"" which was organized in the town of Rachel, Nevada. Other related events and festivals also took place in the area.

No significant attempts to storm Area 51 occurred, and the event did not result in any breach of the base's security. It's essential to note that attempting to enter a military installation without authorization is illegal and can lead to serious consequences. The 2019 Area 51 event is often remembered as an internet meme and a humorous moment in popular culture.",The Storm Area event that gained attention in was initially created as a joke on Facebook and it was never intended to be a serious raid on the highly classified U S Air Force facility known as Area The event titled Storm Area They Can't Stop All of Us suggested that people should gather near the base and run into it to uncover potential extraterrestrial secrets Despite its humorous origin the event garnered significant attention on social media and many people expressed interest in attending The U S Air Force and local authorities however took the situation seriously and strongly discouraged any attempts to trespass on the base emphasizing that Area is a restricted military installation In reality only a small number of people showed up in the vicinity of Area and the situation remained mostly peaceful Some attendees gathered at a nearby festival called Alienstock which was organized in the town of Rachel Nevada Other related events and festivals also took place in the area No significant attempts to storm Area occurred and the event did not result in any breach of the base's security It's essential to note that attempting to enter a military installation without authorization is illegal and can lead to serious consequences The Area event is often remembered as an internet meme and a humorous moment in popular culture,"['storm', 'area', 'event', 'gained', 'attention', 'initially', 'created', 'joke', 'facebook', 'never', 'intended', 'serious', 'raid', 'highly', 'classified', 'u', 'air', 'force', 'facility', 'known', 'area', 'event', 'titled', 'storm', 'area', 'ca', ""n't"", 'stop', 'u', 'suggested', 'people', 'gather', 'near', 'base', 'run', 'uncover', 'potential', 'extraterrestrial', 'secret', 'despite', 'humorous', 'origin', 'event', 'garnered', 'significant', 'attention', 'social', 'medium', 'many', 'people', 'expressed', 'interest', 'attending', 'u', 'air', 'force', 'local', 'authority', 'however', 'took', 'situation', 'seriously', 'strongly', 'discouraged', 'attempt', 'trespass', 'base', 'emphasizing', 'area', 'restricted', 'military', 'installation', 'reality', 'small', 'number', 'people', 'showed', 'vicinity', 'area', 'situation', 'remained', 'mostly', 'peaceful', 'attendee', 'gathered', 'nearby', 'festival', 'called', 'alienstock', 'organized', 'town', 'rachel', 'nevada', 'related', 'event', 'festival', 'also', 'took', 'place', 'area', 'significant', 'attempt', 'storm', 'area', 'occurred', 'event', 'result', 'breach', 'base', ""'s"", 'security', ""'s"", 'essential', 'note', 'attempting', 'enter', 'military', 'installation', 'without', 'authorization', 'illegal', 'lead', 'serious', 'consequence', 'area', 'event', 'often', 'remembered', 'internet', 'meme', 'humorous', 'moment', 'popular', 'culture']",0,moderate,0,0
5,What is Copa America in 2019?,Event,2019,Copa America,"The Copa America in 2019 was the 46th edition of the oldest international football tournament in the world, organized by the South American Football Confederation (CONMEBOL). The tournament took place in Brazil from June 14 to July 7, 2019. It featured 12 teams, including the 10 CONMEBOL member nations and two invited teams, Japan and Qatar.

The participating teams were divided into three groups of four, with the top two from each group and the two best third-placed teams advancing to the knockout stage. The tournament matches were held in various cities across Brazil, including Rio de Janeiro, São Paulo, Belo Horizonte, Porto Alegre, and Salvador.

In the final, Brazil faced Peru at the Maracanã Stadium in Rio de Janeiro on July 7, 2019. Brazil won the match 3-1, with goals from Everton, Gabriel Jesus, and Richarlison, securing their ninth Copa America title. It was Brazil's first Copa America triumph since 2007.",The Copa America in was the th edition of the oldest international football tournament in the world organized by the South American Football Confederation CONMEBOL The tournament took place in Brazil from June to July It featured teams including the CONMEBOL member nations and two invited teams Japan and Qatar The participating teams were divided into three groups of four with the top two from each group and the two best third placed teams advancing to the knockout stage The tournament matches were held in various cities across Brazil including Rio de Janeiro S o Paulo Belo Horizonte Porto Alegre and Salvador In the final Brazil faced Peru at the Maracan Stadium in Rio de Janeiro on July Brazil won the match with goals from Everton Gabriel Jesus and Richarlison securing their ninth Copa America title It was Brazil's first Copa America triumph since,"['copa', 'america', 'th', 'edition', 'oldest', 'international', 'football', 'tournament', 'world', 'organized', 'south', 'american', 'football', 'confederation', 'conmebol', 'tournament', 'took', 'place', 'brazil', 'june', 'july', 'featured', 'team', 'including', 'conmebol', 'member', 'nation', 'two', 'invited', 'team', 'japan', 'qatar', 'participating', 'team', 'divided', 'three', 'group', 'four', 'top', 'two', 'group', 'two', 'best', 'third', 'placed', 'team', 'advancing', 'knockout', 'stage', 'tournament', 'match', 'held', 'various', 'city', 'across', 'brazil', 'including', 'rio', 'de', 'janeiro', 'paulo', 'belo', 'horizonte', 'porto', 'alegre', 'salvador', 'final', 'brazil', 'faced', 'peru', 'maracan', 'stadium', 'rio', 'de', 'janeiro', 'july', 'brazil', 'match', 'goal', 'everton', 'gabriel', 'jesus', 'richarlison', 'securing', 'ninth', 'copa', 'america', 'title', 'brazil', ""'s"", 'first', 'copa', 'america', 'triumph', 'since']",2,liberal,0,0
6,What was the El Paso Shooting?,Event,2019,El Paso shooting,"The El Paso shooting refers to a tragic incident that occurred on August 3, 2019, in El Paso, Texas, USA. A lone gunman entered a Walmart store in the Cielo Vista Mall area and opened fire, resulting in a mass shooting. The attack left 23 people dead and injured dozens more.

The perpetrator, identified as Patrick Crusius, allegedly posted a manifesto online just before the attack, expressing anti-immigrant and racist sentiments. The document cited a ""Hispanic invasion of Texas"" as one of the motivations for the shooting.

The incident raised concerns about the rise of domestic terrorism, hate crimes, and the impact of inflammatory rhetoric on acts of violence. It also sparked discussions about gun control and the need for measures to prevent such tragic events in the future. The El Paso shooting was a devastating event that had a profound impact on the local community and the nation as a whole.",The El Paso shooting refers to a tragic incident that occurred on August in El Paso Texas USA A lone gunman entered a Walmart store in the Cielo Vista Mall area and opened fire resulting in a mass shooting The attack left people dead and injured dozens more The perpetrator identified as Patrick Crusius allegedly posted a manifesto online just before the attack expressing anti immigrant and racist sentiments The document cited a Hispanic invasion of Texas as one of the motivations for the shooting The incident raised concerns about the rise of domestic terrorism hate crimes and the impact of inflammatory rhetoric on acts of violence It also sparked discussions about gun control and the need for measures to prevent such tragic events in the future The El Paso shooting was a devastating event that had a profound impact on the local community and the nation as a whole,"['el', 'paso', 'shooting', 'refers', 'tragic', 'incident', 'occurred', 'august', 'el', 'paso', 'texas', 'usa', 'lone', 'gunman', 'entered', 'walmart', 'store', 'cielo', 'vista', 'mall', 'area', 'opened', 'fire', 'resulting', 'mass', 'shooting', 'attack', 'left', 'people', 'dead', 'injured', 'dozen', 'perpetrator', 'identified', 'patrick', 'crusius', 'allegedly', 'posted', 'manifesto', 'online', 'attack', 'expressing', 'anti', 'immigrant', 'racist', 'sentiment', 'document', 'cited', 'hispanic', 'invasion', 'texas', 'one', 'motivation', 'shooting', 'incident', 'raised', 'concern', 'rise', 'domestic', 'terrorism', 'hate', 'crime', 'impact', 'inflammatory', 'rhetoric', 'act', 'violence', 'also', 'sparked', 'discussion', 'gun', 'control', 'need', 'measure', 'prevent', 'tragic', 'event', 'future', 'el', 'paso', 'shooting', 'devastating', 'event', 'profound', 'impact', 'local', 'community', 'nation', 'whole']",1,conservative,0,1
7,What happened with Sri Lanka in 2019?,Event,2019,Sri Lanka,"In 2019, Sri Lanka experienced a significant and tragic event on April 21st when a series of coordinated bombings targeted churches and hotels across the country. The attacks resulted in hundreds of casualties and injuries. The bombings occurred on Easter Sunday, and the targets included St. Anthony's Shrine in Colombo, St. Sebastian's Church in Negombo, and Zion Church in Batticaloa, among others.

The attacks were carried out by suicide bombers affiliated with a local extremist group known as National Thowheeth Jama'ath (NTJ), which had links to the Islamic State (ISIS). The bombings shocked the nation and the international community, leading to heightened security measures and investigations to address the underlying factors that contributed to the attacks.

In the aftermath, there were concerns about the government's handling of intelligence information and the lack of effective communication between relevant authorities. The attacks had a significant impact on Sri Lanka's social fabric and raised questions about religious and ethnic tensions within the country. The government initiated measures to improve security and counter-terrorism efforts in response to the incident.",In Sri Lanka experienced a significant and tragic event on April st when a series of coordinated bombings targeted churches and hotels across the country The attacks resulted in hundreds of casualties and injuries The bombings occurred on Easter Sunday and the targets included St Anthony's Shrine in Colombo St Sebastian's Church in Negombo and Zion Church in Batticaloa among others The attacks were carried out by suicide bombers affiliated with a local extremist group known as National Thowheeth Jama'ath NTJ which had links to the Islamic State ISIS The bombings shocked the nation and the international community leading to heightened security measures and investigations to address the underlying factors that contributed to the attacks In the aftermath there were concerns about the government's handling of intelligence information and the lack of effective communication between relevant authorities The attacks had a significant impact on Sri Lanka's social fabric and raised questions about religious and ethnic tensions within the country The government initiated measures to improve security and counter terrorism efforts in response to the incident,"['sri', 'lanka', 'experienced', 'significant', 'tragic', 'event', 'april', 'st', 'series', 'coordinated', 'bombing', 'targeted', 'church', 'hotel', 'across', 'country', 'attack', 'resulted', 'hundred', 'casualty', 'injury', 'bombing', 'occurred', 'easter', 'sunday', 'target', 'included', 'st', 'anthony', ""'s"", 'shrine', 'colombo', 'st', 'sebastian', ""'s"", 'church', 'negombo', 'zion', 'church', 'batticaloa', 'among', 'others', 'attack', 'carried', 'suicide', 'bomber', 'affiliated', 'local', 'extremist', 'group', 'known', 'national', 'thowheeth', ""jama'ath"", 'ntj', 'link', 'islamic', 'state', 'isi', 'bombing', 'shocked', 'nation', 'international', 'community', 'leading', 'heightened', 'security', 'measure', 'investigation', 'address', 'underlying', 'factor', 'contributed', 'attack', 'aftermath', 'concern', 'government', ""'s"", 'handling', 'intelligence', 'information', 'lack', 'effective', 'communication', 'relevant', 'authority', 'attack', 'significant', 'impact', 'sri', 'lanka', ""'s"", 'social', 'fabric', 'raised', 'question', 'religious', 'ethnic', 'tension', 'within', 'country', 'government', 'initiated', 'measure', 'improve', 'security', 'counter', 'terrorism', 'effort', 'response', 'incident']",1,conservative,1,1
8,Tell me about the 2019 government shutdown,Event,2019,Government shutdown,"The 2019 government shutdown in the United States was a partial government shutdown that began on December 22, 2018, and lasted until January 25, 2019. It was the longest government shutdown in U.S. history, lasting for a total of 35 days.

The primary reason for the shutdown was a disagreement between President Donald Trump and Congress over funding for the construction of a wall along the U.S.-Mexico border. President Trump had campaigned on a promise to build a border wall to address immigration issues, and he sought $5.7 billion in funding for the wall. However, Democrats, who had gained control of the House of Representatives in the 2018 midterm elections, were opposed to providing funding for the wall.

As a result of the impasse, funding for several federal agencies ran out, leading to a partial government shutdown. Around 800,000 federal workers were furloughed or required to work without pay during the shutdown. This had significant economic consequences for those workers and their families, as well as broader effects on the economy.

The standoff between President Trump and Congress continued for more than a month, with neither side willing to compromise on the issue of border wall funding. The situation created hardship for federal workers, disrupted government services, and led to concerns about the economic impact. The shutdown ended on January 25, 2019, when President Trump and Congress reached a temporary agreement to reopen the government for three weeks while negotiations continued on border security funding. Ultimately, a more extended-term funding deal was reached in February 2019, which did not include the full amount requested by the president for the border wall.",The government shutdown in the United States was a partial government shutdown that began on December and lasted until January It was the longest government shutdown in U S history lasting for a total of days The primary reason for the shutdown was a disagreement between President Donald Trump and Congress over funding for the construction of a wall along the U S Mexico border President Trump had campaigned on a promise to build a border wall to address immigration issues and he sought billion in funding for the wall However Democrats who had gained control of the House of Representatives in the midterm elections were opposed to providing funding for the wall As a result of the impasse funding for several federal agencies ran out leading to a partial government shutdown Around federal workers were furloughed or required to work without pay during the shutdown This had significant economic consequences for those workers and their families as well as broader effects on the economy The standoff between President Trump and Congress continued for more than a month with neither side willing to compromise on the issue of border wall funding The situation created hardship for federal workers disrupted government services and led to concerns about the economic impact The shutdown ended on January when President Trump and Congress reached a temporary agreement to reopen the government for three weeks while negotiations continued on border security funding Ultimately a more extended term funding deal was reached in February which did not include the full amount requested by the president for the border wall,"['government', 'shutdown', 'united', 'state', 'partial', 'government', 'shutdown', 'began', 'december', 'lasted', 'january', 'longest', 'government', 'shutdown', 'u', 'history', 'lasting', 'total', 'day', 'primary', 'reason', 'shutdown', 'disagreement', 'president', 'donald', 'trump', 'congress', 'funding', 'construction', 'wall', 'along', 'u', 'mexico', 'border', 'president', 'trump', 'campaigned', 'promise', 'build', 'border', 'wall', 'address', 'immigration', 'issue', 'sought', 'billion', 'funding', 'wall', 'however', 'democrat', 'gained', 'control', 'house', 'representative', 'midterm', 'election', 'opposed', 'providing', 'funding', 'wall', 'result', 'impasse', 'funding', 'several', 'federal', 'agency', 'ran', 'leading', 'partial', 'government', 'shutdown', 'around', 'federal', 'worker', 'furloughed', 'required', 'work', 'without', 'pay', 'shutdown', 'significant', 'economic', 'consequence', 'worker', 'family', 'well', 'broader', 'effect', 'economy', 'standoff', 'president', 'trump', 'congress', 'continued', 'month', 'neither', 'side', 'willing', 'compromise', 'issue', 'border', 'wall', 'funding', 'situation', 'created', 'hardship', 'federal', 'worker', 'disrupted', 'government', 'service', 'led', 'concern', 'economic', 'impact', 'shutdown', 'ended', 'january', 'president', 'trump', 'congress', 'reached', 'temporary', 'agreement', 'reopen', 'government', 'three', 'week', 'negotiation', 'continued', 'border', 'security', 'funding', 'ultimately', 'extended', 'term', 'funding', 'deal', 'reached', 'february', 'include', 'full', 'amount', 'requested', 'president', 'border', 'wall']",0,moderate,0,1
9,What is the Equifax data breach settlement?,Event,2019,Equifax data breach settlement,"As of my last knowledge update in January 2022, the Equifax data breach settlement had already been reached, but it's important to note that developments may have occurred since then. The Equifax data breach occurred in 2017 when cybercriminals gained unauthorized access to the personal information of millions of people.

The settlement, announced in July 2019, involved Equifax agreeing to pay up to $700 million to settle federal and state investigations into the data breach. The settlement included compensation for those affected by the breach, as well as penalties and monetary contributions to enhance cybersecurity measures. Individuals affected by the breach were eligible to file claims for compensation for various losses, such as time spent dealing with the breach, expenses incurred, and potential identity theft issues.

It's recommended to check the latest updates from official sources or news outlets for the most current information regarding the Equifax data breach settlement as developments may have occurred after my last update in January 2022.",As of my last knowledge update in January the Equifax data breach settlement had already been reached but it's important to note that developments may have occurred since then The Equifax data breach occurred in when cybercriminals gained unauthorized access to the personal information of millions of people The settlement announced in July involved Equifax agreeing to pay up to million to settle federal and state investigations into the data breach The settlement included compensation for those affected by the breach as well as penalties and monetary contributions to enhance cybersecurity measures Individuals affected by the breach were eligible to file claims for compensation for various losses such as time spent dealing with the breach expenses incurred and potential identity theft issues It's recommended to check the latest updates from official sources or news outlets for the most current information regarding the Equifax data breach settlement as developments may have occurred after my last update in January,"['last', 'knowledge', 'update', 'january', 'equifax', 'data', 'breach', 'settlement', 'already', 'reached', ""'s"", 'important', 'note', 'development', 'may', 'occurred', 'since', 'equifax', 'data', 'breach', 'occurred', 'cybercriminals', 'gained', 'unauthorized', 'access', 'personal', 'information', 'million', 'people', 'settlement', 'announced', 'july', 'involved', 'equifax', 'agreeing', 'pay', 'million', 'settle', 'federal', 'state', 'investigation', 'data', 'breach', 'settlement', 'included', 'compensation', 'affected', 'breach', 'well', 'penalty', 'monetary', 'contribution', 'enhance', 'cybersecurity', 'measure', 'individual', 'affected', 'breach', 'eligible', 'file', 'claim', 'compensation', 'various', 'loss', 'time', 'spent', 'dealing', 'breach', 'expense', 'incurred', 'potential', 'identity', 'theft', 'issue', ""'s"", 'recommended', 'check', 'latest', 'update', 'official', 'source', 'news', 'outlet', 'current', 'information', 'regarding', 'equifax', 'data', 'breach', 'settlement', 'development', 'may', 'occurred', 'last', 'update', 'january']",1,conservative,0,0
10,What was the 2019 California earthquake?,Event,2019,California earthquake,"As of my last knowledge update in January 2022, there wasn't a specific earthquake in California in 2019 that stood out as a major event. However, it's important to note that earthquakes are relatively common in California due to its location along the Pacific Ring of Fire. The state frequently experiences seismic activity, and earthquakes of various magnitudes occur regularly.

If there were any significant earthquakes in California in 2019, they might not have been as widely reported or memorable compared to other seismic events. For the most current and accurate information, I recommend checking the latest seismic activity reports from reliable sources such as the United States Geological Survey (USGS) or other relevant seismic monitoring agencies.",As of my last knowledge update in January there wasn't a specific earthquake in California in that stood out as a major event However it's important to note that earthquakes are relatively common in California due to its location along the Pacific Ring of Fire The state frequently experiences seismic activity and earthquakes of various magnitudes occur regularly If there were any significant earthquakes in California in they might not have been as widely reported or memorable compared to other seismic events For the most current and accurate information I recommend checking the latest seismic activity reports from reliable sources such as the United States Geological Survey USGS or other relevant seismic monitoring agencies,"['last', 'knowledge', 'update', 'january', ""n't"", 'specific', 'earthquake', 'california', 'stood', 'major', 'event', 'however', ""'s"", 'important', 'note', 'earthquake', 'relatively', 'common', 'california', 'due', 'location', 'along', 'pacific', 'ring', 'fire', 'state', 'frequently', 'experience', 'seismic', 'activity', 'earthquake', 'various', 'magnitude', 'occur', 'regularly', 'significant', 'earthquake', 'california', 'might', 'widely', 'reported', 'memorable', 'compared', 'seismic', 'event', 'current', 'accurate', 'information', 'recommend', 'checking', 'latest', 'seismic', 'activity', 'report', 'reliable', 'source', 'united', 'state', 'geological', 'survey', 'usgs', 'relevant', 'seismic', 'monitoring', 'agency']",0,moderate,0,0
